hour,minute,desktop,smartphone,tablet,other mobile
4, 1 , 217 , 48 , 45 , 5 
4, 2 , 220 , 50 , 45 , 4 
4, 3 , 218 , 47 , 46 , 5 
4, 4 , 230 , 48 , 50 , 3 
4, 5 , 225 , 46 , 51 , 4 
4, 6 , 223 , 44 , 44 , 4 
4, 7 , 224 , 48 , 45 , 3 
4, 8 , 222 , 49 , 49 , 4 
4, 9 , 213 , 47 , 47 , 5 
4, 10 , 219 , 47 , 48 , 4 
4, 11 , 228 , 53 , 53 , 5 
4, 12 , 212 , 49 , 51 , 5 
4, 13 , 216 , 51 , 50 , 6 
4, 14 , 238 , 48 , 54 , 4 
4, 15 , 236 , 48 , 48 , 4 
4, 16 , 222 , 46 , 46 , 3 
4, 17 , 222 , 47 , 43 , 4 
4, 18 , 214 , 44 , 48 , 4 
4, 19 , 209 , 45 , 52 , 4 
4, 20 , 212 , 43 , 44 , 5 
4, 21 , 221 , 48 , 48 , 4 
4, 22 , 225 , 48 , 41 , 4 
4, 23 , 234 , 47 , 42 , 4 
4, 24 , 211 , 43 , 49 , 5 
4, 25 , 209 , 49 , 47 , 4 
4, 26 , 215 , 54 , 46 , 4 
4, 27 , 219 , 50 , 48 , 4 
4, 28 , 212 , 52 , 52 , 3 
4, 29 , 203 , 48 , 45 , 4 
4, 30 , 213 , 45 , 47 , 4 
4, 31 , 217 , 50 , 48 , 4 
4, 32 , 207 , 47 , 40 , 6 
4, 33 , 206 , 46 , 42 , 5 
4, 34 , 207 , 47 , 45 , 5 
4, 35 , 194 , 53 , 42 , 4 
4, 36 , 200 , 44 , 42 , 5 
4, 37 , 194 , 46 , 42 , 3 
4, 38 , 199 , 49 , 45 , 4 
4, 39 , 194 , 45 , 44 , 4 
4, 40 , 196 , 48 , 46 , 3 
4, 41 , 196 , 45 , 45 , 4 
4, 42 , 192 , 46 , 47 , 3 
4, 43 , 191 , 45 , 50 , 3 
4, 44 , 205 , 44 , 54 , 4 
4, 45 , 244 , 48 , 48 , 6 
4, 46 , 207 , 50 , 44 , 4 
4, 47 , 202 , 44 , 44 , 5 
4, 48 , 185 , 50 , 44 , 5 
4, 49 , 190 , 48 , 50 , 4 
4, 50 , 196 , 51 , 47 , 5 
4, 51 , 205 , 54 , 42 , 5 
4, 52 , 202 , 48 , 46 , 6 
4, 53 , 204 , 48 , 45 , 4 
4, 54 , 191 , 49 , 47 , 3 
4, 55 , 198 , 47 , 48 , 4 
4, 56 , 198 , 48 , 45 , 6 
4, 57 , 192 , 48 , 48 , 4 
4, 58 , 206 , 51 , 44 , 4 
4, 59 , 203 , 49 , 46 , 5 
5, -   , 204 , 44 , 43 , 5 
5, 1 , 236 , 45 , 46 , 4 
5, 2 , 224 , 48 , 46 , 4 
5, 3 , 233 , 44 , 46 , 4 
5, 4 , 239 , 48 , 42 , 4 
5, 5 , 244 , 47 , 45 , 4 
5, 6 , 236 , 43 , 48 , 4 
5, 7 , 227 , 48 , 45 , 6 
5, 8 , 231 , 52 , 43 , 3 
5, 9 , 229 , 48 , 50 , 4 
5, 10 , 222 , 52 , 49 , 5 
5, 11 , 221 , 51 , 50 , 5 
5, 12 , 230 , 54 , 42 , 3 
5, 13 , 225 , 46 , 44 , 4 
5, 14 , 232 , 50 , 41 , 4 
5, 15 , 241 , 46 , 42 , 5 
5, 16 , 238 , 43 , 43 , 5 
5, 17 , 226 , 44 , 43 , 4 
5, 18 , 233 , 43 , 44 , 4 
5, 19 , 225 , 49 , 38 , 4 
5, 20 , 231 , 46 , 39 , 3 
5, 21 , 220 , 45 , 47 , 3 
5, 22 , 235 , 45 , 48 , 4 
5, 23 , 234 , 54 , 50 , 4 
5, 24 , 233 , 44 , 54 , 3 
5, 25 , 225 , 50 , 44 , 4 
5, 26 , 221 , 43 , 47 , 4 
5, 27 , 224 , 47 , 50 , 5 
5, 28 , 223 , 48 , 51 , 6 
5, 29 , 220 , 45 , 49 , 4 
5, 30 , 214 , 48 , 44 , 4 
5, 31 , 215 , 41 , 50 , 5 
5, 32 , 216 , 43 , 48 , 4 
5, 33 , 220 , 46 , 49 , 3 
5, 34 , 217 , 44 , 50 , 4 
5, 35 , 229 , 50 , 46 , 5 
5, 36 , 220 , 52 , 46 , 4 
5, 37 , 217 , 48 , 47 , 5 
5, 38 , 212 , 46 , 50 , 4 
5, 39 , 217 , 44 , 51 , 4 
5, 40 , 215 , 45 , 54 , 5 
5, 41 , 213 , 39 , 51 , 7 
5, 42 , 217 , 44 , 53 , 4 
5, 43 , 215 , 51 , 42 , 4 
5, 44 , 221 , 45 , 44 , 5 
5, 45 , 255 , 42 , 49 , 5 
5, 46 , 226 , 45 , 45 , 5 
5, 47 , 215 , 42 , 46 , 6 
5, 48 , 223 , 43 , 44 , 5 
5, 49 , 216 , 44 , 53 , 5 
5, 50 , 224 , 40 , 48 , 4 
5, 51 , 232 , 47 , 50 , 4 
5, 52 , 214 , 46 , 53 , 6 
5, 53 , 227 , 43 , 45 , 5 
5, 54 , 220 , 37 , 47 , 6 
5, 55 , 212 , 39 , 50 , 6 
5, 56 , 215 , 43 , 47 , 5 
5, 57 , 216 , 45 , 48 , 5 
5, 58 , 213 , 44 , 49 , 4 
5, 59 , 218 , 42 , 54 , 5 
6, -   , 209 , 48 , 52 , 3 
6, 1 , 245 , 46 , 55 , 4 
6, 2 , 248 , 49 , 50 , 4 
6, 3 , 237 , 41 , 46 , 4 
6, 4 , 241 , 42 , 49 , 5 
6, 5 , 246 , 42 , 47 , 4 
6, 6 , 228 , 45 , 44 , 5 
6, 7 , 230 , 47 , 46 , 5 
6, 8 , 228 , 42 , 44 , 5 
6, 9 , 218 , 41 , 44 , 3 
6, 10 , 226 , 39 , 46 , 3 
6, 11 , 222 , 45 , 42 , 4 
6, 12 , 215 , 45 , 48 , 4 
6, 13 , 214 , 42 , 44 , 5 
6, 14 , 220 , 38 , 46 , 5 
6, 15 , 234 , 43 , 45 , 4 
6, 16 , 225 , 44 , 48 , 5 
6, 17 , 220 , 41 , 45 , 5 
6, 18 , 218 , 44 , 45 , 6 
6, 19 , 209 , 41 , 47 , 3 
6, 20 , 227 , 43 , 45 , 5 
6, 21 , 231 , 46 , 45 , 5 
6, 22 , 234 , 44 , 49 , 5 
6, 23 , 241 , 43 , 48 , 5 
6, 24 , 236 , 43 , 44 , 6 
6, 25 , 225 , 46 , 52 , 6 
6, 26 , 232 , 43 , 44 , 4 
6, 27 , 227 , 43 , 44 , 4 
6, 28 , 232 , 52 , 40 , 3 
6, 29 , 225 , 46 , 42 , 3 
6, 30 , 221 , 46 , 40 , 4 
6, 31 , 231 , 39 , 47 , 3 
6, 32 , 240 , 46 , 48 , 4 
6, 33 , 238 , 46 , 45 , 4 
6, 34 , 228 , 42 , 51 , 4 
6, 35 , 225 , 47 , 45 , 5 
6, 36 , 228 , 42 , 45 , 5 
6, 37 , 229 , 39 , 50 , 5 
6, 38 , 227 , 47 , 45 , 5 
6, 39 , 219 , 45 , 42 , 5 
6, 40 , 228 , 41 , 45 , 4 
6, 41 , 235 , 43 , 52 , 3 
6, 42 , 224 , 45 , 51 , 4 
6, 43 , 222 , 49 , 54 , 6 
6, 44 , 233 , 39 , 55 , 4 
6, 45 , 265 , 38 , 48 , 4 
6, 46 , 237 , 46 , 47 , 4 
6, 47 , 232 , 44 , 48 , 5 
6, 48 , 237 , 48 , 46 , 3 
6, 49 , 228 , 44 , 52 , 3 
6, 50 , 235 , 40 , 46 , 4 
6, 51 , 241 , 46 , 51 , 3 
6, 52 , 243 , 40 , 51 , 4 
6, 53 , 236 , 41 , 49 , 4 
6, 54 , 232 , 44 , 47 , 3 
6, 55 , 221 , 42 , 48 , 4 
6, 56 , 226 , 40 , 46 , 4 
6, 57 , 227 , 42 , 44 , 4 
6, 58 , 226 , 48 , 49 , 4 
6, 59 , 220 , 42 , 47 , 5 
7, -   , 221 , 37 , 42 , 4 
7, 1 , 236 , 42 , 43 , 5 
7, 2 , 235 , 43 , 47 , 6 
7, 3 , 238 , 43 , 49 , 4 
7, 4 , 234 , 39 , 50 , 3 
7, 5 , 231 , 44 , 49 , 4 
7, 6 , 235 , 37 , 47 , 3 
7, 7 , 220 , 40 , 45 , 5 
7, 8 , 223 , 38 , 42 , 3 
7, 9 , 227 , 39 , 46 , 4 
7, 10 , 224 , 36 , 48 , 3 
7, 11 , 209 , 39 , 52 , 6 
7, 12 , 223 , 37 , 49 , 5 
7, 13 , 217 , 39 , 52 , 6 
7, 14 , 227 , 39 , 43 , 5 
7, 15 , 233 , 43 , 43 , 5 
7, 16 , 226 , 41 , 47 , 6 
7, 17 , 224 , 39 , 49 , 5 
7, 18 , 226 , 45 , 46 , 4 
7, 19 , 221 , 37 , 41 , 3 
7, 20 , 216 , 42 , 43 , 2 
7, 21 , 222 , 40 , 47 , 4 
7, 22 , 215 , 40 , 48 , 3 
7, 23 , 223 , 39 , 48 , 4 
7, 24 , 215 , 40 , 45 , 3 
7, 25 , 219 , 41 , 40 , 4 
7, 26 , 216 , 41 , 48 , 4 
7, 27 , 229 , 39 , 46 , 5 
7, 28 , 214 , 49 , 45 , 5 
7, 29 , 221 , 47 , 50 , 5 
7, 30 , 215 , 39 , 45 , 4 
7, 31 , 222 , 44 , 44 , 3 
7, 32 , 216 , 45 , 54 , 3 
7, 33 , 219 , 46 , 49 , 3 
7, 34 , 220 , 37 , 47 , 3 
7, 35 , 219 , 45 , 44 , 4 
7, 36 , 214 , 44 , 44 , 5 
7, 37 , 212 , 41 , 47 , 5 
7, 38 , 209 , 40 , 53 , 6 
7, 39 , 213 , 43 , 47 , 5 
7, 40 , 217 , 40 , 56 , 4 
7, 41 , 209 , 39 , 49 , 4 
7, 42 , 211 , 38 , 56 , 4 
7, 43 , 212 , 43 , 51 , 5 
7, 44 , 210 , 39 , 42 , 6 
7, 45 , 256 , 42 , 46 , 5 
7, 46 , 211 , 41 , 47 , 4 
7, 47 , 219 , 40 , 53 , 4 
7, 48 , 219 , 45 , 48 , 5 
7, 49 , 214 , 43 , 53 , 4 
7, 50 , 203 , 42 , 45 , 5 
7, 51 , 226 , 44 , 48 , 6 
7, 52 , 224 , 39 , 44 , 4 
7, 53 , 221 , 44 , 44 , 5 
7, 54 , 215 , 45 , 42 , 5 
7, 55 , 207 , 43 , 47 , 6 
7, 56 , 214 , 38 , 50 , 6 
7, 57 , 234 , 42 , 46 , 4 
7, 58 , 225 , 42 , 50 , 5 
7, 59 , 217 , 37 , 52 , 5 
8, -   , 226 , 37 , 46 , 4 
8, 1 , 240 , 41 , 51 , 4 
8, 2 , 237 , 43 , 52 , 4 
8, 3 , 236 , 43 , 53 , 5 
8, 4 , 238 , 43 , 46 , 5 
8, 5 , 251 , 43 , 42 , 5 
8, 6 , 235 , 41 , 49 , 5 
8, 7 , 226 , 42 , 45 , 5 
8, 8 , 218 , 45 , 46 , 5 
8, 9 , 217 , 40 , 42 , 5 
8, 10 , 209 , 36 , 49 , 4 
8, 11 , 216 , 38 , 47 , 5 
8, 12 , 208 , 42 , 50 , 5 
8, 13 , 213 , 40 , 50 , 4 
8, 14 , 217 , 42 , 53 , 4 
8, 15 , 231 , 49 , 51 , 4 
8, 16 , 238 , 40 , 52 , 6 
8, 17 , 232 , 38 , 45 , 4 
8, 18 , 216 , 46 , 51 , 5 
8, 19 , 227 , 44 , 48 , 3 
8, 20 , 216 , 45 , 45 , 5 
8, 21 , 205 , 42 , 55 , 5 
8, 22 , 202 , 40 , 48 , 3 
8, 23 , 232 , 42 , 49 , 4 
8, 24 , 201 , 42 , 50 , 4 
8, 25 , 217 , 53 , 51 , 5 
8, 26 , 221 , 41 , 48 , 3 
8, 27 , 225 , 37 , 49 , 3 
8, 28 , 226 , 48 , 41 , 5 
8, 29 , 207 , 43 , 41 , 4 
8, 30 , 211 , 41 , 44 , 4 
8, 31 , 222 , 40 , 44 , 3 
8, 32 , 216 , 44 , 49 , 5 
8, 33 , 218 , 41 , 49 , 4 
8, 34 , 213 , 46 , 45 , 4 
8, 35 , 223 , 50 , 44 , 5 
8, 36 , 211 , 38 , 50 , 7 
8, 37 , 209 , 44 , 54 , 5 
8, 38 , 211 , 44 , 52 , 6 
8, 39 , 210 , 44 , 58 , 6 
8, 40 , 216 , 37 , 49 , 6 
8, 41 , 211 , 37 , 53 , 4 
8, 42 , 206 , 42 , 46 , 5 
8, 43 , 206 , 43 , 56 , 5 
8, 44 , 207 , 40 , 54 , 3 
8, 45 , 250 , 40 , 52 , 5 
8, 46 , 228 , 38 , 52 , 4 
8, 47 , 217 , 43 , 51 , 4 
8, 48 , 215 , 44 , 50 , 5 
8, 49 , 201 , 41 , 50 , 4 
8, 50 , 208 , 38 , 54 , 4 
8, 51 , 225 , 46 , 46 , 4 
8, 52 , 228 , 41 , 52 , 4 
8, 53 , 223 , 44 , 50 , 5 
8, 54 , 205 , 47 , 53 , 5 
8, 55 , 214 , 47 , 55 , 5 
8, 56 , 213 , 45 , 51 , 4 
8, 57 , 214 , 46 , 51 , 6 
8, 58 , 218 , 48 , 50 , 6 
8, 59 , 209 , 43 , 42 , 6 
9, -   , 209 , 44 , 47 , 4 
9, 1 , 234 , 45 , 51 , 5 
9, 2 , 237 , 48 , 55 , 5 
9, 3 , 226 , 41 , 54 , 5 
9, 4 , 231 , 33 , 56 , 4 
9, 5 , 238 , 37 , 56 , 4 
9, 6 , 226 , 39 , 52 , 5 
9, 7 , 217 , 41 , 48 , 3 
9, 8 , 220 , 42 , 46 , 6 
9, 9 , 217 , 42 , 52 , 5 
9, 10 , 218 , 38 , 53 , 4 
9, 11 , 218 , 45 , 53 , 5 
9, 12 , 212 , 43 , 50 , 4 
9, 13 , 210 , 46 , 58 , 3 
9, 14 , 218 , 44 , 54 , 4 
9, 15 , 220 , 41 , 65 , 4 
9, 16 , 215 , 43 , 55 , 5 
9, 17 , 215 , 43 , 56 , 4 
9, 18 , 210 , 42 , 61 , 4 
9, 19 , 202 , 40 , 52 , 3 
9, 20 , 205 , 41 , 55 , 4 
9, 21 , 195 , 46 , 55 , 4 
9, 22 , 206 , 43 , 51 , 5 
9, 23 , 205 , 45 , 61 , 3 
9, 24 , 203 , 42 , 61 , 5 
9, 25 , 200 , 48 , 58 , 4 
