hour,minute,desktop,smartphone,tablet,other mobile
4, 12 , 42 , 23 , 60 , 3 
4, 13 , 43 , 24 , 60 , 3 
4, 14 , 44 , 25 , 54 , 4 
4, 15 , 45 , 25 , 51 , 5 
4, 16 , 48 , 24 , 56 , 4 
4, 17 , 49 , 22 , 61 , 5 
4, 18 , 45 , 23 , 54 , 4 
4, 19 , 46 , 24 , 60 , 5 
4, 20 , 50 , 27 , 60 , 6 
4, 21 , 46 , 30 , 64 , 4 
4, 22 , 47 , 24 , 58 , 4 
4, 23 , 73 , 28 , 62 , 4 
4, 24 , 50 , 27 , 57 , 4 
4, 25 , 56 , 25 , 64 , 5 
4, 26 , 57 , 28 , 57 , 3 
4, 27 , 58 , 29 , 71 , 3 
4, 28 , 52 , 24 , 64 , 4 
4, 29 , 46 , 28 , 63 , 4 
4, 30 , 52 , 30 , 73 , 4 
4, 31 , 50 , 33 , 72 , 4 
4, 32 , 50 , 34 , 72 , 6 
4, 33 , 54 , 34 , 80 , 5 
4, 34 , 51 , 34 , 80 , 5 
4, 35 , 52 , 36 , 77 , 6 
4, 36 , 50 , 30 , 79 , 4 
4, 37 , 58 , 31 , 80 , 5 
4, 38 , 58 , 29 , 84 , 5 
4, 39 , 54 , 32 , 83 , 4 
4, 40 , 51 , 30 , 83 , 5 
4, 41 , 54 , 35 , 92 , 5 
4, 42 , 54 , 34 , 80 , 4 
4, 43 , 57 , 35 , 94 , 5 
4, 44 , 57 , 34 , 98 , 5 
4, 45 , 68 , 32 , 95 , 5 
4, 46 , 61 , 33 , 91 , 6 
4, 47 , 62 , 31 , 91 , 5 
4, 48 , 60 , 36 , 97 , 6 
4, 49 , 63 , 36 , 100 , 5 
4, 50 , 61 , 34 , 100 , 5 
4, 51 , 69 , 42 , 104 , 5 
4, 52 , 69 , 46 , 99 , 5 
4, 53 , 67 , 41 , 104 , 6 
4, 54 , 78 , 43 , 104 , 5 
4, 55 , 69 , 45 , 106 , 3 
4, 56 , 67 , 42 , 112 , 4 
4, 57 , 74 , 45 , 109 , 4 
4, 58 , 70 , 41 , 96 , 4 
4, 59 , 67 , 46 , 97 , 4 
5, -   , 78 , 46 , 106 , 3 
5, 1 , 88 , 55 , 102 , 3 
5, 2 , 82 , 49 , 100 , 3 
5, 3 , 78 , 47 , 98 , 4 
5, 4 , 87 , 50 , 108 , 4 
5, 5 , 89 , 50 , 114 , 5 
5, 6 , 78 , 51 , 108 , 4 
5, 7 , 78 , 49 , 113 , 4 
5, 8 , 82 , 51 , 114 , 4 
5, 9 , 91 , 50 , 113 , 5 
5, 10 , 88 , 49 , 122 , 4 
5, 11 , 83 , 48 , 126 , 5 
5, 12 , 93 , 55 , 129 , 6 
5, 13 , 89 , 53 , 126 , 6 
5, 14 , 94 , 58 , 128 , 6 
5, 15 , 103 , 57 , 123 , 6 
5, 16 , 102 , 57 , 131 , 6 
5, 17 , 104 , 55 , 136 , 6 
5, 18 , 98 , 53 , 130 , 6 
5, 19 , 104 , 56 , 146 , 6 
5, 20 , 113 , 57 , 135 , 5 
5, 21 , 106 , 60 , 141 , 6 
5, 22 , 116 , 55 , 146 , 6 
5, 23 , 121 , 58 , 150 , 4 
5, 24 , 118 , 59 , 142 , 6 
5, 25 , 112 , 61 , 151 , 8 
5, 26 , 116 , 58 , 149 , 6 
5, 27 , 121 , 54 , 151 , 5 
5, 28 , 118 , 58 , 157 , 6 
5, 29 , 114 , 63 , 164 , 7 
5, 30 , 105 , 61 , 161 , 7 
5, 31 , 109 , 69 , 152 , 8 
5, 32 , 116 , 61 , 150 , 5 
5, 33 , 124 , 67 , 160 , 6 
5, 34 , 126 , 66 , 176 , 6 
5, 35 , 129 , 63 , 172 , 7 
5, 36 , 127 , 72 , 181 , 7 
5, 37 , 119 , 68 , 171 , 6 
5, 38 , 127 , 68 , 171 , 6 
5, 39 , 125 , 71 , 168 , 6 
5, 40 , 125 , 73 , 176 , 6 
5, 41 , 125 , 71 , 183 , 8 
5, 42 , 127 , 73 , 165 , 5 
5, 43 , 133 , 70 , 164 , 6 
5, 44 , 131 , 67 , 174 , 6 
5, 45 , 138 , 75 , 170 , 6 
5, 46 , 136 , 78 , 178 , 5 
5, 47 , 140 , 71 , 172 , 6 
5, 48 , 141 , 77 , 186 , 6 
5, 49 , 150 , 70 , 185 , 7 
5, 50 , 145 , 76 , 194 , 6 
5, 51 , 154 , 79 , 183 , 6 
5, 52 , 150 , 69 , 185 , 7 
5, 53 , 145 , 79 , 186 , 7 
5, 54 , 147 , 76 , 186 , 7 
5, 55 , 141 , 86 , 194 , 6 
5, 56 , 159 , 79 , 193 , 7 
5, 57 , 158 , 83 , 190 , 7 
5, 58 , 161 , 75 , 183 , 6 
5, 59 , 147 , 76 , 195 , 7 
6, -   , 144 , 78 , 200 , 7 
6, 1 , 166 , 88 , 203 , 6 
6, 2 , 170 , 80 , 211 , 9 
6, 3 , 163 , 85 , 210 , 7 
6, 4 , 169 , 83 , 220 , 7 
6, 5 , 174 , 86 , 219 , 7 
6, 6 , 177 , 88 , 208 , 6 
6, 7 , 178 , 88 , 216 , 5 
6, 8 , 187 , 87 , 213 , 7 
6, 9 , 191 , 88 , 221 , 8 
6, 10 , 175 , 85 , 224 , 8 
6, 11 , 193 , 87 , 220 , 8 
6, 12 , 191 , 85 , 231 , 8 
6, 13 , 188 , 79 , 230 , 6 
6, 14 , 195 , 86 , 225 , 7 
6, 15 , 208 , 93 , 221 , 7 
6, 16 , 203 , 98 , 220 , 8 
6, 17 , 213 , 96 , 216 , 9 
6, 18 , 201 , 95 , 225 , 7 
6, 19 , 201 , 87 , 208 , 9 
6, 20 , 203 , 94 , 208 , 9 
6, 21 , 208 , 106 , 227 , 10 
6, 22 , 215 , 104 , 234 , 8 
6, 23 , 215 , 110 , 221 , 10 
6, 24 , 224 , 105 , 229 , 12 
6, 25 , 232 , 100 , 219 , 8 
6, 26 , 224 , 100 , 238 , 8 
6, 27 , 235 , 100 , 220 , 9 
6, 28 , 240 , 100 , 219 , 7 
6, 29 , 229 , 105 , 218 , 9 
6, 30 , 247 , 102 , 210 , 7 
6, 31 , 245 , 105 , 216 , 8 
6, 32 , 237 , 105 , 232 , 7 
6, 33 , 232 , 115 , 218 , 7 
6, 34 , 237 , 111 , 225 , 8 
6, 35 , 239 , 105 , 227 , 7 
6, 36 , 246 , 102 , 239 , 8 
6, 37 , 238 , 111 , 228 , 9 
6, 38 , 242 , 109 , 220 , 9 
6, 39 , 253 , 104 , 227 , 12 
6, 40 , 254 , 100 , 224 , 11 
6, 41 , 271 , 98 , 214 , 9 
6, 42 , 259 , 101 , 220 , 10 
6, 43 , 253 , 107 , 233 , 9 
6, 44 , 258 , 108 , 232 , 10 
6, 45 , 280 , 106 , 225 , 9 
6, 46 , 284 , 108 , 215 , 8 
6, 47 , 289 , 107 , 237 , 9 
6, 48 , 281 , 106 , 220 , 9 
6, 49 , 284 , 110 , 222 , 8 
6, 50 , 288 , 110 , 229 , 8 
6, 51 , 305 , 113 , 230 , 9 
6, 52 , 309 , 108 , 227 , 9 
6, 53 , 307 , 110 , 221 , 7 
6, 54 , 319 , 104 , 232 , 8 
6, 55 , 312 , 109 , 225 , 10 
6, 56 , 314 , 113 , 228 , 10 
6, 57 , 317 , 111 , 227 , 8 
6, 58 , 317 , 103 , 232 , 9 
6, 59 , 297 , 105 , 227 , 9 
7, -   , 316 , 113 , 212 , 7 
7, 1 , 345 , 99 , 215 , 7 
7, 2 , 336 , 109 , 214 , 8 
7, 3 , 322 , 116 , 207 , 8 
7, 4 , 325 , 102 , 229 , 7 
7, 5 , 346 , 112 , 216 , 8 
7, 6 , 320 , 106 , 216 , 8 
7, 7 , 332 , 107 , 225 , 10 
7, 8 , 335 , 111 , 222 , 7 
7, 9 , 332 , 111 , 213 , 8 
7, 10 , 335 , 109 , 217 , 7 
7, 11 , 346 , 108 , 227 , 9 
7, 12 , 340 , 99 , 225 , 8 
7, 13 , 347 , 102 , 211 , 9 
7, 14 , 372 , 100 , 212 , 7 
7, 15 , 379 , 98 , 200 , 9 
