hour,minute,desktop,smartphone,tablet,other
3, 35 , 316 , 178 , 199 , 15 
3, 36 , 314 , 183 , 194 , 17 
3, 37 , 304 , 179 , 209 , 17 
3, 38 , 352 , 173 , 205 , 14 
3, 39 , 338 , 162 , 196 , 17 
3, 40 , 323 , 171 , 196 , 17 
3, 41 , 305 , 164 , 204 , 18 
3, 42 , 301 , 169 , 193 , 18 
3, 43 , 299 , 172 , 208 , 15 
3, 44 , 308 , 161 , 202 , 15 
3, 45 , 328 , 163 , 205 , 14 
3, 46 , 315 , 170 , 193 , 18 
3, 47 , 297 , 168 , 192 , 16 
3, 48 , 292 , 165 , 182 , 16 
3, 49 , 297 , 160 , 182 , 15 
3, 50 , 299 , 161 , 205 , 17 
3, 51 , 355 , 172 , 195 , 16 
3, 52 , 303 , 158 , 200 , 15 
3, 53 , 322 , 161 , 206 , 16 
3, 54 , 309 , 161 , 195 , 18 
3, 55 , 292 , 163 , 197 , 19 
3, 56 , 288 , 160 , 185 , 14 
3, 57 , 327 , 161 , 184 , 19 
3, 58 , 294 , 155 , 183 , 17 
3, 59 , 278 , 155 , 179 , 17 
4, -   , 317 , 156 , 182 , 13 
4, 1 , 427 , 151 , 175 , 14 
4, 2 , 423 , 149 , 172 , 17 
4, 3 , 387 , 153 , 169 , 16 
4, 4 , 421 , 151 , 170 , 16 
4, 5 , 404 , 156 , 180 , 14 
4, 6 , 357 , 160 , 172 , 16 
4, 7 , 339 , 165 , 170 , 15 
4, 8 , 322 , 155 , 171 , 14 
4, 9 , 301 , 148 , 182 , 16 
4, 10 , 305 , 150 , 175 , 15 
4, 11 , 274 , 147 , 175 , 15 
4, 12 , 292 , 160 , 178 , 16 
4, 13 , 281 , 160 , 178 , 16 
4, 14 , 322 , 148 , 173 , 14 
4, 15 , 352 , 147 , 167 , 14 
4, 16 , 322 , 145 , 159 , 14 
4, 17 , 299 , 159 , 167 , 13 
4, 18 , 275 , 142 , 155 , 16 
4, 19 , 268 , 155 , 158 , 17 
4, 20 , 252 , 143 , 165 , 14 
4, 21 , 249 , 136 , 160 , 15 
4, 22 , 252 , 137 , 156 , 12 
4, 23 , 307 , 138 , 161 , 13 
4, 24 , 251 , 144 , 144 , 14 
4, 25 , 262 , 140 , 149 , 13 
4, 26 , 267 , 146 , 152 , 11 
4, 27 , 275 , 137 , 158 , 14 
4, 28 , 253 , 137 , 155 , 15 
4, 29 , 247 , 130 , 156 , 14 
4, 30 , 252 , 130 , 150 , 17 
4, 31 , 268 , 137 , 152 , 14 
4, 32 , 246 , 142 , 154 , 15 
4, 33 , 260 , 141 , 150 , 15 
4, 34 , 268 , 137 , 139 , 15 
4, 35 , 248 , 141 , 144 , 15 
4, 36 , 237 , 134 , 141 , 15 
4, 37 , 251 , 136 , 135 , 13 
4, 38 , 265 , 133 , 141 , 13 
4, 39 , 258 , 133 , 141 , 14 
4, 40 , 251 , 133 , 129 , 15 
4, 41 , 244 , 136 , 139 , 12 
4, 42 , 242 , 123 , 138 , 13 
4, 43 , 225 , 125 , 134 , 12 
4, 44 , 229 , 131 , 135 , 13 
4, 45 , 262 , 131 , 132 , 13 
4, 46 , 248 , 125 , 126 , 11 
4, 47 , 236 , 131 , 127 , 12 
4, 48 , 232 , 122 , 136 , 12 
4, 49 , 226 , 124 , 131 , 15 
4, 50 , 216 , 123 , 128 , 14 
4, 51 , 275 , 118 , 129 , 15 
4, 52 , 248 , 119 , 132 , 15 
4, 53 , 257 , 114 , 129 , 14 
4, 54 , 228 , 123 , 128 , 14 
4, 55 , 212 , 116 , 117 , 14 
4, 56 , 214 , 119 , 124 , 14 
4, 57 , 252 , 111 , 118 , 9 
4, 58 , 234 , 120 , 124 , 10 
4, 59 , 226 , 125 , 120 , 13 
5, -   , 247 , 122 , 126 , 15 
5, 1 , 353 , 121 , 121 , 12 
5, 2 , 331 , 111 , 129 , 11 
5, 3 , 297 , 114 , 124 , 12 
5, 4 , 309 , 117 , 111 , 11 
5, 5 , 303 , 113 , 116 , 11 
5, 6 , 275 , 113 , 118 , 12 
5, 7 , 261 , 110 , 115 , 14 
5, 8 , 242 , 105 , 112 , 12 
5, 9 , 227 , 105 , 117 , 12 
5, 10 , 224 , 109 , 115 , 12 
5, 11 , 210 , 107 , 108 , 12 
5, 12 , 207 , 111 , 118 , 13 
5, 13 , 205 , 104 , 114 , 13 
5, 14 , 232 , 105 , 118 , 12 
5, 15 , 285 , 99 , 107 , 13 
5, 16 , 223 , 113 , 113 , 11 
5, 17 , 209 , 105 , 111 , 12 
5, 18 , 197 , 94 , 115 , 11 
5, 19 , 191 , 105 , 104 , 13 
5, 20 , 188 , 105 , 104 , 12 
5, 21 , 192 , 102 , 100 , 12 
5, 22 , 186 , 99 , 100 , 11 
5, 23 , 180 , 97 , 102 , 10 
5, 24 , 184 , 94 , 101 , 12 
5, 25 , 192 , 100 , 105 , 13 
5, 26 , 194 , 100 , 98 , 12 
5, 27 , 207 , 96 , 103 , 11 
5, 28 , 185 , 99 , 101 , 10 
5, 29 , 201 , 99 , 95 , 11 
5, 30 , 189 , 97 , 94 , 10 
5, 31 , 203 , 99 , 102 , 11 
5, 32 , 180 , 92 , 95 , 12 
5, 33 , 183 , 91 , 90 , 12 
5, 34 , 193 , 97 , 93 , 12 
5, 35 , 184 , 92 , 99 , 9 
5, 36 , 174 , 88 , 105 , 9 
5, 37 , 177 , 98 , 103 , 11 
5, 38 , 190 , 92 , 94 , 8 
5, 39 , 188 , 89 , 96 , 10 
5, 40 , 184 , 96 , 87 , 12 
5, 41 , 178 , 90 , 85 , 9 
5, 42 , 175 , 90 , 80 , 10 
5, 43 , 176 , 83 , 82 , 12 
5, 44 , 170 , 78 , 88 , 11 
5, 45 , 184 , 78 , 85 , 10 
5, 46 , 178 , 87 , 80 , 10 
5, 47 , 171 , 86 , 81 , 11 
5, 48 , 167 , 80 , 80 , 11 
5, 49 , 152 , 78 , 77 , 9 
5, 50 , 159 , 84 , 83 , 10 
5, 51 , 196 , 82 , 81 , 11 
5, 52 , 185 , 81 , 83 , 11 
5, 53 , 189 , 81 , 79 , 10 
5, 54 , 178 , 77 , 73 , 12 
5, 55 , 161 , 72 , 83 , 9 
5, 56 , 154 , 79 , 72 , 11 
5, 57 , 181 , 76 , 74 , 8 
5, 58 , 168 , 78 , 83 , 8 
5, 59 , 144 , 74 , 80 , 11 
6, -   , 168 , 78 , 68 , 10 
6, 1 , 237 , 73 , 71 , 12 
6, 2 , 227 , 78 , 74 , 11 
6, 3 , 210 , 72 , 73 , 11 
6, 4 , 228 , 72 , 76 , 11 
6, 5 , 230 , 66 , 73 , 11 
6, 6 , 202 , 77 , 77 , 11 
6, 7 , 193 , 75 , 73 , 9 
6, 8 , 175 , 73 , 71 , 10 
6, 9 , 175 , 68 , 69 , 7 
6, 10 , 172 , 68 , 64 , 8 
6, 11 , 162 , 67 , 60 , 8 
6, 12 , 154 , 72 , 62 , 7 
6, 13 , 150 , 72 , 68 , 10 
6, 14 , 175 , 74 , 59 , 9 
6, 15 , 190 , 69 , 65 , 10 
6, 16 , 166 , 77 , 74 , 10 
6, 17 , 152 , 73 , 66 , 8 
6, 18 , 148 , 63 , 68 , 11 
6, 19 , 150 , 77 , 70 , 8 
6, 20 , 140 , 72 , 66 , 7 
6, 21 , 152 , 69 , 65 , 9 
6, 22 , 141 , 66 , 70 , 7 
6, 23 , 143 , 70 , 72 , 9 
6, 24 , 134 , 65 , 63 , 11 
6, 25 , 144 , 76 , 72 , 9 
6, 26 , 139 , 71 , 69 , 10 
6, 27 , 149 , 71 , 69 , 9 
6, 28 , 143 , 69 , 69 , 7 
6, 29 , 148 , 66 , 65 , 9 
