hour,minute,desktop,smartphone,tablet,other mobile
2, 58 , 358 , 261 , 171 , 228 , 17 
2, 59 , 334 , 235 , 180 , 236 , 16 
3, -   , 397 , 280 , 188 , 223 , 16 
3, 1 , 505 , 381 , 176 , 221 , 18 
3, 2 , 487 , 367 , 177 , 221 , 15 
3, 3 , 444 , 334 , 176 , 208 , 14 
3, 4 , 493 , 373 , 180 , 218 , 13 
3, 5 , 468 , 337 , 173 , 224 , 17 
3, 6 , 412 , 296 , 178 , 213 , 16 
3, 7 , 387 , 269 , 177 , 214 , 15 
3, 8 , 363 , 263 , 175 , 218 , 14 
3, 9 , 357 , 253 , 181 , 223 , 18 
3, 10 , 339 , 248 , 188 , 227 , 17 
3, 11 , 334 , 239 , 179 , 228 , 17 
3, 12 , 334 , 248 , 177 , 213 , 18 
3, 13 , 346 , 239 , 180 , 212 , 16 
3, 14 , 396 , 292 , 184 , 223 , 18 
3, 15 , 438 , 322 , 173 , 216 , 17 
3, 16 , 375 , 266 , 178 , 225 , 16 
3, 17 , 349 , 248 , 183 , 230 , 17 
3, 18 , 329 , 232 , 172 , 218 , 20 
3, 19 , 323 , 225 , 170 , 224 , 18 
3, 20 , 343 , 238 , 174 , 226 , 18 
3, 21 , 315 , 229 , 174 , 213 , 17 
3, 22 , 313 , 220 , 175 , 214 , 15 
3, 23 , 353 , 238 , 181 , 208 , 16 
3, 24 , 328 , 216 , 176 , 206 , 15 
3, 25 , 327 , 218 , 162 , 210 , 18 
3, 26 , 339 , 245 , 173 , 214 , 20 
3, 27 , 343 , 254 , 173 , 214 , 17 
3, 28 , 325 , 235 , 180 , 219 , 14 
3, 29 , 321 , 226 , 173 , 204 , 16 
3, 30 , 341 , 240 , 173 , 207 , 16 
3, 31 , 334 , 229 , 174 , 207 , 19 
3, 32 , 312 , 207 , 177 , 216 , 18 
3, 33 , 340 , 235 , 167 , 208 , 18 
3, 34 , 321 , 228 , 167 , 211 , 18 
3, 35 , 316 , 209 , 178 , 199 , 15 
3, 36 , 314 , 200 , 183 , 194 , 17 
3, 37 , 304 , 197 , 179 , 209 , 17 
