hour,minute,desktop,smartphone,tablet,other
4, -   , 35 , 20 , 18 , 2 
4, 1 , 43 , 17 , 20 , 3 
4, 2 , 44 , 18 , 18 , 2 
4, 3 , 42 , 19 , 20 , 2 
4, 4 , 43 , 19 , 20 , 2 
4, 5 , 42 , 17 , 25 , 2 
4, 6 , 39 , 16 , 25 , 1 
4, 7 , 40 , 16 , 24 , 2 
4, 8 , 36 , 16 , 27 , 1 
4, 9 , 40 , 18 , 19 , 2 
4, 10 , 38 , 24 , 23 , 2 
4, 11 , 40 , 20 , 22 , 2 
4, 12 , 42 , 20 , 26 , 2 
4, 13 , 42 , 18 , 23 , 3 
4, 14 , 42 , 19 , 29 , 2 
4, 15 , 45 , 21 , 25 , 2 
4, 16 , 38 , 23 , 27 , 2 
4, 17 , 45 , 19 , 28 , 3 
4, 18 , 46 , 21 , 30 , 2 
4, 19 , 45 , 22 , 27 , 2 
4, 20 , 42 , 22 , 26 , 2 
4, 21 , 43 , 20 , 34 , 3 
4, 22 , 44 , 21 , 30 , 3 
4, 23 , 63 , 21 , 29 , 2 
4, 24 , 42 , 22 , 31 , 4 
4, 25 , 40 , 24 , 31 , 2 
4, 26 , 47 , 24 , 34 , 2 
4, 27 , 42 , 21 , 29 , 3 
4, 28 , 46 , 22 , 39 , 2 
4, 29 , 45 , 22 , 36 , 3 
4, 30 , 46 , 23 , 38 , 4 
4, 31 , 46 , 23 , 33 , 3 
4, 32 , 43 , 27 , 37 , 2 
4, 33 , 42 , 27 , 38 , 2 
4, 34 , 45 , 23 , 38 , 3 
4, 35 , 50 , 25 , 41 , 3 
4, 36 , 49 , 32 , 44 , 2 
4, 37 , 46 , 30 , 41 , 3 
4, 38 , 42 , 28 , 43 , 1 
4, 39 , 46 , 29 , 43 , 3 
4, 40 , 40 , 31 , 45 , 3 
4, 41 , 43 , 34 , 44 , 3 
4, 42 , 42 , 32 , 48 , 3 
4, 43 , 43 , 34 , 51 , 2 
4, 44 , 43 , 33 , 48 , 3 
4, 45 , 46 , 41 , 49 , 3 
4, 46 , 45 , 39 , 48 , 3 
4, 47 , 52 , 42 , 54 , 2 
4, 48 , 45 , 37 , 53 , 4 
4, 49 , 49 , 39 , 58 , 3 
4, 50 , 43 , 43 , 52 , 3 
4, 51 , 45 , 40 , 58 , 2 
4, 52 , 48 , 44 , 58 , 3 
4, 53 , 46 , 46 , 67 , 3 
4, 54 , 48 , 41 , 69 , 3 
4, 55 , 54 , 49 , 76 , 3 
4, 56 , 51 , 51 , 67 , 3 
4, 57 , 49 , 49 , 71 , 3 
4, 58 , 46 , 49 , 76 , 3 
4, 59 , 51 , 47 , 77 , 3 
5, -   , 46 , 57 , 76 , 4 
5, 1 , 59 , 59 , 81 , 4 
5, 2 , 59 , 60 , 86 , 4 
5, 3 , 52 , 63 , 87 , 4 
5, 4 , 54 , 60 , 86 , 2 
5, 5 , 51 , 60 , 85 , 3 
5, 6 , 53 , 62 , 102 , 4 
5, 7 , 56 , 65 , 105 , 7 
5, 8 , 53 , 68 , 107 , 4 
5, 9 , 53 , 66 , 107 , 4 
5, 10 , 55 , 71 , 100 , 4 
5, 11 , 58 , 69 , 111 , 3 
5, 12 , 57 , 67 , 115 , 3 
5, 13 , 62 , 69 , 122 , 3 
5, 14 , 67 , 62 , 117 , 2 
5, 15 , 60 , 74 , 121 , 2 
5, 16 , 70 , 81 , 120 , 3 
5, 17 , 64 , 91 , 125 , 3 
5, 18 , 66 , 79 , 138 , 3 
5, 19 , 67 , 87 , 138 , 3 
5, 20 , 68 , 89 , 150 , 3 
5, 21 , 71 , 83 , 147 , 3 
5, 22 , 66 , 78 , 142 , 3 
5, 23 , 65 , 84 , 147 , 3 
5, 24 , 70 , 79 , 151 , 3 
5, 25 , 70 , 91 , 152 , 4 
5, 26 , 72 , 97 , 161 , 5 
5, 27 , 73 , 87 , 164 , 3 
5, 28 , 69 , 93 , 161 , 3 
5, 29 , 67 , 91 , 169 , 3 
5, 30 , 72 , 97 , 173 , 4 
5, 31 , 70 , 99 , 184 , 4 
5, 32 , 77 , 99 , 187 , 6 
5, 33 , 73 , 107 , 186 , 4 
5, 34 , 76 , 107 , 194 , 4 
5, 35 , 76 , 103 , 198 , 6 
5, 36 , 74 , 104 , 207 , 5 
5, 37 , 75 , 117 , 224 , 6 
5, 38 , 74 , 122 , 214 , 5 
5, 39 , 73 , 115 , 219 , 4 
5, 40 , 83 , 120 , 222 , 5 
5, 41 , 83 , 118 , 218 , 4 
5, 42 , 84 , 125 , 225 , 4 
5, 43 , 86 , 117 , 216 , 4 
5, 44 , 86 , 126 , 226 , 5 
5, 45 , 91 , 126 , 233 , 4 
5, 46 , 89 , 132 , 230 , 5 
5, 47 , 86 , 131 , 233 , 5 
5, 48 , 97 , 131 , 235 , 4 
5, 49 , 92 , 134 , 239 , 6 
5, 50 , 96 , 141 , 251 , 6 
5, 51 , 98 , 146 , 252 , 7 
5, 52 , 101 , 153 , 276 , 5 
5, 53 , 87 , 148 , 283 , 7 
5, 54 , 101 , 148 , 278 , 8 
5, 55 , 103 , 150 , 293 , 6 
5, 56 , 101 , 157 , 317 , 5 
5, 57 , 99 , 154 , 297 , 5 
5, 58 , 103 , 152 , 305 , 5 
5, 59 , 102 , 159 , 310 , 4 
6, -   , 110 , 167 , 320 , 4 
6, 1 , 108 , 173 , 314 , 3 
6, 2 , 110 , 179 , 327 , 4 
